Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,2018,9/9/18,1,1,36.191,PIT,@,CLE,T 21-21,3,16,2,16,5.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
2,2018,9/16/18,2,2,36.198,PIT,,KAN,L 37-42,2,9,1,-1,-0.5,10,5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
3,2018,9/24/18,3,3,36.206,PIT,@,TAM,W 30-27,4,-1,1,-1,-0.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
4,2018,9/30/18,4,4,36.212,PIT,,BAL,L 14-26,1,-1,0,-1,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
5,2018,10/7/18,5,5,36.219,PIT,,ATL,W 41-17,2,16,2,16,8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
6,2018,10/14/18,6,6,36.226,PIT,@,CIN,W 28-21,1,-1,0,-1,-1,0,0,0,,1,1,-1,0,0,0,0,-1,-1,0,0,,0,0,0,79.2
7,2018,10/28/18,7,8,36.24,PIT,,CLE,W 33-18,2,6,2,4,2,2,1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
8,2018,11/4/18,8,9,36.247,PIT,@,BAL,W 23-16,2,4,1,4,2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
9,2018,11/8/18,9,10,36.251,PIT,,CAR,W 52-21,3,27,2,20,6.7,7,2.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
10,2018,11/18/18,10,11,36.261,PIT,@,JAX,W 20-16,2,1,1,-1,-0.5,2,1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
11,2018,11/25/18,11,12,36.268,PIT,@,DEN,L 17-24,2,18,1,18,9,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
12,2018,12/2/18,12,13,36.275,PIT,,LAC,L 30-33,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
13,2018,12/9/18,13,14,36.282,PIT,@,OAK,L 21-24,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
14,2018,12/16/18,14,15,36.289,PIT,,NWE,W 17-10,2,-3,0,-3,-1.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
15,2018,12/23/18,15,16,36.296,PIT,@,NOR,L 28-31,2,4,0,-7,-3.5,11,5.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
16,2018,12/30/18,16,17,36.303,PIT,,CIN,W 16-13,3,3,0,3,1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
17,2019,9/8/19,1,1,37.19,PIT,@,NWE,L 3-33,1,7,0,7,7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
18,2019,9/15/19,2,2,37.197,PIT,,SEA,L 26-28,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
19,2020,9/14/20,1,1,38.196,PIT,@,NYG,W 26-16,3,9,1,9,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
20,2020,9/20/20,2,2,38.202,PIT,,DEN,W 26-21,3,-2,0,-2,-0.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
