Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
1,2018,9/9/18,1,1,36.191,PIT,@,CLE,T 21-21,23,41,335,17,37.8,382,9.3,122,5.3,3,213,9.3,3,7.30%,9,22.00%,4,20,7,1,12,26.10%,1,15
2,2018,9/16/18,2,2,36.198,PIT,,KAN,L 37-42,39,60,452,25,41,537,9,186,4.8,3.1,266,6.8,0,0.00%,18,30.00%,1,9,8,2,11,17.50%,2,4.5
3,2018,9/24/18,3,3,36.206,PIT,@,TAM,W 30-27,30,38,353,16,39,267,7,140,4.7,3.7,213,7.1,1,2.70%,4,10.80%,3,12,4,3,10,24.40%,0,
4,2018,9/30/18,4,4,36.212,PIT,,BAL,L 14-26,27,47,274,12,25,332,7.1,133,4.9,2.8,141,5.2,0,0.00%,10,21.70%,1,13,2,1,4,8.30%,0,
5,2018,10/7/18,5,5,36.219,PIT,,ATL,W 41-17,19,29,250,11,37.9,234,8.1,123,6.5,4.2,127,6.7,1,3.40%,5,17.20%,0,8,1,2,3,9.70%,2,8
6,2018,10/14/18,6,6,36.226,PIT,@,CIN,W 28-21,32,46,369,16,34.8,401,8.7,165,5.2,3.6,204,6.4,1,2.20%,6,13.30%,0,13,8,1,9,19.60%,0,
7,2018,10/28/18,7,8,36.24,PIT,,CLE,W 33-18,24,36,257,14,37.8,291,8.1,137,5.7,3.8,120,5,2,5.70%,6,17.10%,1,11,3,0,4,10.80%,0,
8,2018,11/4/18,8,9,36.247,PIT,@,BAL,W 23-16,28,47,270,17,35.4,298,6.3,121,4.3,2.6,149,5.3,6,13.00%,8,17.40%,1,17,5,5,11,22.40%,1,3
9,2018,11/8/18,9,10,36.251,PIT,,CAR,W 52-21,22,25,328,14,53.8,129,5.2,103,4.7,4.1,225,10.2,0,0.00%,1,4.00%,1,8,2,0,3,10.70%,2,14
10,2018,11/18/18,10,11,36.261,PIT,@,JAX,W 20-16,27,47,314,10,20.4,387,8.2,175,6.5,3.7,139,5.1,4,8.90%,8,17.80%,2,1,2,4,8,16.30%,0,
11,2018,11/25/18,11,12,36.268,PIT,@,DEN,L 17-24,41,56,462,18,31,395,7.1,222,5.4,4,240,5.9,3,5.40%,9,16.10%,2,12,2,2,6,10.00%,2,9
12,2018,12/2/18,12,13,36.275,PIT,,LAC,L 30-33,29,45,281,15,32.6,376,8.4,173,6,3.8,108,3.7,2,4.40%,8,17.80%,1,2,5,1,7,15.20%,0,
