Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
1,2018,9/9/18,1,1,41.037,NWE,,HOU,W 27-20,26,39,277,16,39,320,8.2,184,7.1,4.7,93,3.6,0,0.00%,6,15.40%,2,10,4,3,9,22.00%,0,
2,2018,9/16/18,2,2,41.044,NWE,@,JAX,L 20-31,24,35,234,12,32.4,213,6.1,98,4.1,2.8,136,5.7,1,3.00%,8,24.20%,2,10,0,3,5,13.20%,1,10
3,2018,9/23/18,3,3,41.051,NWE,@,DET,L 10-26,14,26,133,4,14.3,333,12.8,85,6.1,3.3,48,3.4,2,7.70%,9,34.60%,2,0,1,4,7,25.00%,0,
4,2018,9/30/18,4,4,41.058,NWE,,MIA,W 38-7,23,35,274,13,37.1,279,8,93,4,2.7,181,7.9,1,3.00%,4,12.10%,0,4,2,6,8,22.90%,0,
5,2018,10/4/18,5,5,41.062,NWE,,IND,W 38-24,34,44,341,18,40.9,285,6.5,174,5.1,4,167,4.9,4,9.50%,4,9.50%,0,6,5,3,8,18.20%,0,
6,2018,10/14/18,6,6,41.072,NWE,,KAN,W 43-40,24,35,340,14,37.8,323,9.2,168,7,4.8,172,7.2,2,5.70%,9,25.70%,2,2,1,0,3,7.90%,1,4
7,2018,10/21/18,7,7,41.079,NWE,@,CHI,W 38-31,25,36,277,15,40.5,235,6.5,145,5.8,4,132,5.3,2,5.70%,6,17.10%,1,3,1,1,3,7.90%,1,6
8,2018,10/29/18,8,8,41.087,NWE,@,BUF,W 25-6,29,45,324,15,31.9,343,7.6,192,6.6,4.3,132,4.6,1,2.40%,8,19.50%,2,1,13,2,17,35.40%,1,8
9,2018,11/4/18,9,9,41.093,NWE,,GNB,W 31-17,22,35,294,12,32.4,266,7.6,135,6.1,3.9,159,7.2,1,2.90%,9,26.50%,2,6,1,1,4,10.80%,0,
10,2018,11/11/18,10,10,41.1,NWE,@,TEN,L 10-34,21,41,254,12,27.3,354,8.6,136,6.5,3.3,118,5.6,1,2.90%,7,20.60%,3,12,3,2,8,18.20%,0,
11,2018,11/25/18,11,12,41.114,NWE,@,NYJ,W 27-13,20,31,283,12,38.7,297,9.6,174,8.7,5.6,109,5.5,1,3.20%,7,22.60%,0,7,1,4,5,16.10%,0,
12,2018,12/2/18,12,13,41.121,NWE,,MIN,W 24-10,24,32,311,14,43.8,123,3.8,83,3.5,2.6,228,9.5,1,3.20%,4,12.90%,0,6,2,1,3,9.10%,1,5
13,2018,12/9/18,13,14,41.128,NWE,@,MIA,L 33-34,27,43,358,21,46.7,360,8.4,221,8.2,5.1,137,5.1,2,4.90%,7,17.10%,2,12,3,1,6,13.30%,0,
14,2018,12/16/18,14,15,41.135,NWE,@,PIT,L 10-17,25,36,279,9,24.3,334,9.3,150,6,4.2,129,5.2,3,8.30%,4,11.10%,1,8,4,6,11,29.70%,0,
15,2018,12/23/18,15,16,41.142,NWE,,BUF,W 24-12,13,24,126,4,16,105,4.4,33,2.5,1.4,93,7.2,2,8.70%,7,30.40%,1,12,5,0,6,24.00%,0,
16,2018,12/30/18,16,17,41.149,NWE,,NYJ,W 38-3,24,33,250,14,41.2,317,9.6,163,6.8,4.9,87,3.6,1,3.10%,4,12.50%,1,9,2,2,5,14.70%,0,
17,2019,9/8/19,1,1,42.036,NWE,,PIT,W 33-3,24,36,341,14,37.8,286,7.9,205,8.5,5.7,136,5.7,1,2.90%,10,28.60%,1,9,9,4,14,37.80%,0,
18,2019,9/15/19,2,2,42.043,NWE,@,MIA,W 43-0,20,28,264,13,43.3,264,9.4,173,8.7,6.2,91,4.6,0,0.00%,5,17.90%,2,8,0,1,3,10.00%,0,
19,2019,9/22/19,3,3,42.05,NWE,,NYJ,W 30-14,28,42,306,16,38.1,287,6.8,165,5.9,3.9,141,5,2,4.90%,8,19.50%,0,15,3,0,3,7.10%,0,
20,2019,9/29/19,4,4,42.057,NWE,@,BUF,W 16-10,18,39,150,5,12.8,298,7.6,69,3.8,1.8,81,4.5,2,6.10%,8,24.20%,0,10,5,1,6,15.40%,0,
21,2019,10/6/19,5,5,42.064,NWE,@,WAS,W 33-7,28,42,348,16,34.8,326,7.8,207,7.4,4.9,141,5,2,5.10%,6,15.40%,4,15,5,4,13,28.30%,0,
22,2019,10/10/19,6,6,42.068,NWE,,NYG,W 35-14,31,41,334,17,38.6,280,6.8,174,5.6,4.2,160,5.2,1,2.40%,6,14.60%,3,7,2,2,7,15.90%,0,
23,2019,10/21/19,7,7,42.079,NWE,@,NYJ,W 33-0,31,45,249,12,26.7,223,5,126,4.1,2.8,123,4,3,7.10%,5,11.90%,0,23,5,3,8,17.80%,0,
24,2019,10/27/19,8,8,42.085,NWE,,CLE,W 27-13,20,36,259,11,28.2,253,7,149,7.5,4.1,110,5.5,3,9.40%,7,21.90%,3,13,6,1,10,25.60%,0,
25,2019,11/3/19,9,9,42.092,NWE,@,BAL,L 20-37,30,46,285,17,35.4,338,7.3,150,5,3.3,135,4.5,1,2.40%,7,17.10%,2,22,1,0,3,6.30%,0,
26,2019,11/17/19,10,11,42.106,NWE,@,PHI,W 17-10,26,47,216,13,27.1,319,6.8,82,3.2,1.7,134,5.2,4,9.10%,9,20.50%,1,15,0,4,5,10.40%,0,
27,2019,11/24/19,11,12,42.113,NWE,,DAL,W 13-9,17,37,190,10,25.6,385,10.4,143,8.4,3.9,47,2.8,5,14.70%,9,26.50%,2,9,1,5,8,20.50%,0,
28,2019,12/1/19,12,13,42.12,NWE,@,HOU,L 22-28,24,47,326,16,32,498,10.6,198,8.3,4.2,128,5.3,2,4.80%,8,19.00%,3,12,5,0,8,15.70%,1,13
