Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,2018,9/9/18,1,1,41.037,NWE,,HOU,W 27-20,1,2,1,2,2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
2,2018,9/16/18,2,2,41.044,NWE,@,JAX,L 20-31,3,10,2,9,3,1,0.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
3,2018,9/23/18,3,3,41.051,NWE,@,DET,L 10-26,1,2,1,2,2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
4,2018,9/30/18,4,4,41.058,NWE,,MIA,W 38-7,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
5,2018,10/4/18,5,5,41.062,NWE,,IND,W 38-24,3,-1,1,-1,-0.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
6,2018,10/14/18,6,6,41.072,NWE,,KAN,W 43-40,3,2,1,-9,-3,11,3.7,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
7,2018,10/21/18,7,7,41.079,NWE,@,CHI,W 38-31,1,6,0,6,6,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
8,2018,10/29/18,8,8,41.087,NWE,@,BUF,W 25-6,1,8,1,6,6,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
9,2018,11/4/18,9,9,41.093,NWE,,GNB,W 31-17,5,-1,1,-1,-0.2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
10,2018,11/11/18,10,10,41.1,NWE,@,TEN,L 10-34,1,0,0,0,0,0,0,0,,1,1,6,0,0,0,0,6,6,0,0,,0,0,0,91.7
11,2018,11/25/18,11,12,41.114,NWE,@,NYJ,W 27-13,1,-1,0,-1,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
12,2018,12/2/18,12,13,41.121,NWE,,MIN,W 24-10,2,5,1,5,2.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
13,2018,12/9/18,13,14,41.128,NWE,@,MIA,L 33-34,1,3,1,3,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
14,2018,12/16/18,14,15,41.135,NWE,@,PIT,L 10-17,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
15,2018,12/23/18,15,16,41.142,NWE,,BUF,W 24-12,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
16,2018,12/30/18,16,17,41.149,NWE,,NYJ,W 38-3,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
17,2019,9/8/19,1,1,42.036,NWE,,PIT,W 33-3,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
18,2019,9/15/19,2,2,42.043,NWE,@,MIA,W 43-0,2,1,1,1,0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
19,2019,9/22/19,3,3,42.05,NWE,,NYJ,W 30-14,2,-1,0,-1,-0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
20,2019,9/29/19,4,4,42.057,NWE,@,BUF,W 16-10,3,-3,0,-3,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
21,2019,10/6/19,5,5,42.064,NWE,@,WAS,W 33-7,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
22,2019,10/10/19,6,6,42.068,NWE,,NYG,W 35-14,7,6,3,5,0.7,1,0.1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
23,2019,10/21/19,7,7,42.079,NWE,@,NYJ,W 33-0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
24,2019,10/27/19,8,8,42.085,NWE,,CLE,W 27-13,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
25,2019,11/3/19,9,9,42.092,NWE,@,BAL,L 20-37,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
26,2019,11/17/19,10,11,42.106,NWE,@,PHI,W 17-10,1,-1,0,-1,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
27,2019,11/24/19,11,12,42.113,NWE,,DAL,W 13-9,2,-3,0,-3,-1.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
28,2019,12/1/19,12,13,42.12,NWE,@,HOU,L 22-28,1,13,1,13,13,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
29,2019,12/8/19,13,14,42.127,NWE,,KAN,L 16-23,2,20,2,17,8.5,3,1.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
30,2019,12/15/19,14,15,42.134,NWE,@,CIN,W 34-13,2,-2,0,-2,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
31,2019,12/21/19,15,16,42.14,NWE,,BUF,W 24-17,4,4,1,4,1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
32,2019,12/29/19,16,17,42.148,NWE,,MIA,L 24-27,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
