Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
1,2018,9/9/18,1,1,34.281,GNB,,CHI,W 24-23,20,30,286,11,34.4,285,9.5,127,6.4,4.2,159,8,0,0.00%,4,16.00%,2,3,3,2,7,21.20%,1,15
2,2018,9/16/18,2,2,34.288,GNB,,MIN,T 29-29,30,42,281,11,23.9,300,7.1,158,5.3,3.8,123,4.1,2,5.40%,3,8.10%,4,11,4,4,12,25.00%,2,5.5
3,2018,9/23/18,3,3,34.295,GNB,@,WAS,L 17-31,27,44,265,11,22.9,328,7.5,99,3.7,2.3,166,6.1,4,9.80%,9,22.00%,4,8,6,2,12,24.00%,2,6.5
4,2018,9/30/18,4,4,34.302,GNB,,BUF,W 22-0,22,40,298,12,28.6,423,10.6,154,7,3.9,144,6.5,5,12.50%,8,20.00%,2,8,2,2,6,13.00%,4,8.5
5,2018,10/7/18,5,5,34.309,GNB,@,DET,L 23-31,32,52,442,23,41.1,456,8.8,253,7.9,4.9,189,5.9,2,4.00%,14,28.00%,4,5,4,3,11,19.00%,2,5.5
6,2018,10/15/18,6,6,34.317,GNB,,SFO,W 33-30,25,46,425,17,34.7,379,8.2,207,8.3,4.5,218,8.7,1,2.60%,11,28.90%,3,14,13,4,20,38.50%,3,11.3
7,2018,10/28/18,7,8,34.33,GNB,@,LAR,L 27-29,18,30,286,11,33.3,257,8.6,170,9.4,5.7,116,6.4,0,0.00%,8,28.60%,3,10,6,5,14,41.20%,1,5
8,2018,11/4/18,8,9,34.337,GNB,@,NWE,L 17-31,24,43,259,14,31.8,397,9.2,157,6.5,3.7,102,4.3,1,2.60%,8,21.10%,1,10,5,4,10,21.30%,3,3.3
9,2018,11/11/18,9,10,34.344,GNB,,MIA,W 31-12,19,28,199,11,36.7,193,6.9,89,4.7,3.2,110,5.8,2,7.70%,3,11.50%,2,9,2,1,5,15.20%,3,8
10,2018,11/15/18,10,11,34.348,GNB,@,SEA,L 24-27,21,30,332,11,31.4,347,11.6,198,9.4,6.6,134,6.4,2,7.10%,4,14.30%,5,7,4,0,9,25.00%,1,3
11,2018,11/25/18,11,12,34.358,GNB,@,MIN,L 17-24,17,28,198,8,25,289,10.3,132,7.8,4.7,66,3.9,0,0.00%,5,20.80%,4,3,6,1,11,34.40%,0,
12,2018,12/2/18,12,13,35,GNB,,ARI,L 17-20,31,50,233,15,29.4,424,8.5,109,3.5,2.2,124,4,5,10.60%,9,19.10%,1,23,12,3,16,29.60%,3,6.7
13,2018,12/9/18,13,14,35.007,GNB,,ATL,W 34-20,21,32,196,11,30.6,273,8.5,118,5.6,3.7,78,3.7,0,0.00%,4,13.80%,4,14,5,1,10,25.60%,3,14.7
14,2018,12/16/18,14,15,35.014,GNB,@,CHI,L 17-24,25,42,274,15,31.9,461,11,132,5.3,3.1,142,5.7,1,2.50%,6,15.00%,5,10,11,2,18,36.00%,3,8.3
15,2018,12/23/18,15,16,35.021,GNB,@,NYJ,W 44-38,37,55,442,19,32.2,383,7,196,5.3,3.6,246,6.6,2,3.80%,9,17.30%,4,17,6,4,14,22.60%,3,10.7
16,2018,12/30/18,16,17,35.028,GNB,,DET,L 0-31,3,5,26,,,42,8.4,9,3,1.8,17,5.7,0,0.00%,1,25.00%,1,1,1,0,2,33.30%,0,
17,2019,9/5/19,1,1,35.277,GNB,@,CHI,W 10-3,18,30,203,10,28.6,300,10,116,6.4,3.9,87,4.8,0,0.00%,5,17.90%,5,8,6,2,13,36.10%,1,10
18,2019,9/15/19,2,2,35.287,GNB,,MIN,W 21-16,22,34,209,12,33.3,259,7.6,103,4.7,3,106,4.8,0,0.00%,5,16.70%,2,12,4,7,13,36.10%,0,
19,2019,9/22/19,3,3,35.294,GNB,,DEN,W 27-16,17,29,235,8,27.6,258,8.9,158,9.3,5.4,77,4.5,2,7.40%,6,22.20%,0,10,6,1,7,24.10%,0,
20,2019,9/26/19,4,4,35.298,GNB,,PHI,L 27-34,34,53,422,19,35.2,374,7.1,211,6.2,4,211,6.2,0,0.00%,8,16.70%,1,8,7,1,9,15.30%,5,9.2
21,2019,10/6/19,5,5,35.308,GNB,@,DAL,W 34-24,22,34,238,9,25,247,7.3,81,3.7,2.4,157,7.1,1,3.20%,5,16.10%,2,9,6,3,11,29.70%,1,3
22,2019,10/14/19,6,6,35.316,GNB,,DET,W 23-22,24,39,283,13,32.5,376,9.6,194,8.1,5,89,3.7,3,7.90%,8,21.10%,1,4,3,2,6,14.60%,1,12
23,2019,10/20/19,7,7,35.322,GNB,,OAK,W 42-24,25,31,429,15,46.9,268,8.6,206,8.2,6.6,223,8.9,1,3.40%,3,10.30%,1,10,4,2,7,20.60%,2,3
24,2019,10/27/19,8,8,35.329,GNB,@,KAN,W 31-24,23,33,305,15,39.5,236,7.2,119,5.2,3.6,186,8.1,0,0.00%,7,22.60%,5,17,0,7,12,29.30%,3,10.7
25,2019,11/3/19,9,9,35.336,GNB,@,LAC,L 11-26,23,35,161,11,28.9,299,8.5,72,3.1,2.1,89,3.9,1,2.90%,9,26.50%,3,1,6,1,10,25.60%,1,5
26,2019,11/10/19,10,10,35.343,GNB,,CAR,W 24-16,17,29,233,9,29,338,11.7,120,7.1,4.1,113,6.6,0,0.00%,6,22.20%,2,10,3,1,6,18.80%,1,7
27,2019,11/24/19,11,12,35.357,GNB,@,SFO,L 8-37,20,33,104,7,18.4,230,7,-5,-0.3,-0.2,109,5.5,3,9.40%,7,21.90%,5,13,1,2,8,19.50%,3,4.3
28,2019,12/1/19,12,13,35.364,GNB,@,NYG,W 31-13,21,33,243,13,39.4,272,8.2,158,7.5,4.8,85,4,2,6.10%,9,27.30%,0,14,2,2,4,11.10%,3,8
29,2019,12/8/19,13,14,36.006,GNB,,WAS,W 20-15,18,28,195,9,28.1,219,7.8,109,6.1,3.9,86,4.8,2,7.40%,5,18.50%,4,11,4,4,12,35.30%,2,9.5
30,2019,12/15/19,14,15,36.013,GNB,,CHI,W 21-13,16,33,203,7,20.6,293,8.9,92,5.8,2.8,111,6.9,6,20.00%,5,16.70%,1,7,3,3,7,19.40%,2,12
31,2019,12/23/19,15,16,36.021,GNB,@,MIN,W 23-10,26,40,216,14,32.6,266,6.7,71,2.7,1.8,145,5.6,1,2.60%,7,18.40%,3,7,1,2,6,14.00%,0,
32,2019,12/29/19,16,17,36.027,GNB,@,DET,W 23-20,27,55,323,18,32.1,770,14,188,7,3.4,135,5,2,3.70%,19,35.20%,1,13,1,5,7,12.30%,1,2
33,2020,9/13/20,1,1,36.286,GNB,@,MIN,W 43-34,32,44,364,17,38.6,391,8.9,209,6.5,4.8,155,4.8,2,4.90%,6,14.60%,0,19,4,2,6,13.60%,0,
34,2020,9/20/20,2,2,36.293,GNB,,DET,W 42-21,18,30,240,13,41.9,277,9.2,140,7.8,4.7,100,5.6,4,13.30%,5,16.70%,1,8,0,2,3,9.10%,2,6
35,2020,9/27/20,3,3,36.3,GNB,@,NOR,W 37-30,21,32,283,14,42.4,288,9,132,6.3,4.1,151,7.2,1,3.30%,7,23.30%,1,12,2,2,5,14.70%,1,13
36,2020,10/5/20,4,4,36.308,GNB,,ATL,W 30-16,27,33,327,17,50,285,8.6,154,5.7,4.7,173,6.4,0,0.00%,5,15.20%,1,14,3,0,4,11.40%,1,5
37,2020,10/18/20,5,6,36.321,GNB,@,TAM,L 10-38,16,35,160,9,23.1,298,8.5,79,4.9,2.3,81,5.1,4,12.90%,6,19.40%,4,18,1,7,12,29.30%,2,7
38,2020,10/25/20,6,7,36.328,GNB,@,HOU,W 35-20,23,34,283,15,44.1,233,6.9,116,5,3.4,167,7.3,2,5.90%,9,26.50%,0,11,1,1,2,5.90%,0,
39,2020,11/1/20,7,8,36.335,GNB,,MIN,L 22-28,27,41,291,17,40.5,334,8.1,166,6.1,4,125,4.6,2,5.40%,6,16.20%,1,10,3,2,6,13.60%,2,4.5
40,2020,11/5/20,8,9,36.339,GNB,@,SFO,W 34-17,25,31,305,13,40.6,229,7.4,174,7,5.6,131,5.2,1,3.30%,2,6.70%,1,11,4,0,5,15.20%,1,7
41,2020,11/15/20,9,10,36.349,GNB,,JAX,W 24-20,24,34,325,11,31.4,212,6.2,88,3.7,2.6,237,9.9,2,6.10%,4,12.10%,1,10,2,2,5,13.90%,1,5
42,2020,11/22/20,10,11,36.356,GNB,@,IND,L 31-34,27,38,311,13,33.3,297,7.8,177,6.6,4.7,134,5,1,2.90%,6,17.10%,1,5,2,0,3,7.30%,2,6.5
43,2020,11/29/20,11,12,36.363,GNB,,CHI,W 41-25,21,29,211,13,44.8,244,8.4,89,4.2,3.1,122,5.8,2,6.90%,3,10.30%,0,11,2,0,2,6.50%,2,6
44,2020,12/6/20,12,13,37.004,GNB,,PHI,W 30-16,25,34,295,14,38.9,364,10.7,162,6.5,4.8,133,5.3,2,6.30%,3,9.40%,2,7,3,4,9,25.00%,0,
45,2020,12/13/20,13,14,37.011,GNB,@,DET,W 31-24,26,33,290,15,45.5,210,6.4,119,4.6,3.6,171,6.6,0,0.00%,1,3.20%,0,4,0,1,1,2.70%,4,3.8
46,2020,12/19/20,14,15,37.017,GNB,,CAR,W 24-16,20,29,143,8,23.5,123,4.2,37,1.9,1.3,106,5.3,3,11.50%,2,7.70%,5,10,5,0,10,27.00%,3,7
47,2020,12/27/20,15,16,37.025,GNB,,TEN,W 40-14,21,25,231,14,53.8,178,7.1,123,5.9,4.9,108,5.1,0,0.00%,2,8.30%,1,14,1,1,3,10.70%,2,9.5
48,2020,1/3/21,16,17,37.032,GNB,@,CHI,W 35-16,19,24,240,13,52,172,7.2,86,4.5,3.6,154,8.1,1,4.20%,2,8.30%,1,4,0,5,6,23.10%,1,4
49,2021,9/12/21,1,1,37.284,GNB,@,NOR,L 3-38,15,28,133,6,20.7,244,8.7,67,4.5,2.4,66,4.4,0,0.00%,10,38.50%,1,2,3,5,9,31.00%,0,
50,2021,9/20/21,2,2,37.292,GNB,,DET,W 35-17,22,27,255,16,53.3,262,9.7,130,5.9,4.8,125,5.7,0,0.00%,4,14.80%,3,6,0,3,6,18.20%,3,2.3
