Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,2018,9/9/18,1,1,34.281,GNB,,CHI,W 24-23,1,15,0,15,15,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
2,2018,9/16/18,2,2,34.288,GNB,,MIN,T 29-29,3,8,1,8,2.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
3,2018,9/23/18,3,3,34.295,GNB,@,WAS,L 17-31,2,13,2,13,6.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
4,2018,9/30/18,4,4,34.302,GNB,,BUF,W 22-0,5,31,3,31,6.2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
5,2018,10/7/18,5,5,34.309,GNB,@,DET,L 23-31,3,10,2,10,3.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
6,2018,10/15/18,6,6,34.317,GNB,,SFO,W 33-30,3,34,2,32,10.7,2,0.7,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
7,2018,10/28/18,7,8,34.33,GNB,@,LAR,L 27-29,1,5,0,3,3,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
8,2018,11/4/18,8,9,34.337,GNB,@,NWE,L 17-31,4,8,0,1,0.3,7,1.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
9,2018,11/11/18,9,10,34.344,GNB,,MIA,W 31-12,6,21,1,21,3.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
10,2018,11/15/18,10,11,34.348,GNB,@,SEA,L 24-27,1,3,1,3,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
11,2018,11/25/18,11,12,34.358,GNB,@,MIN,L 17-24,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
12,2018,12/2/18,12,13,35,GNB,,ARI,L 17-20,3,20,2,20,6.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
13,2018,12/9/18,13,14,35.007,GNB,,ATL,W 34-20,3,44,2,44,14.7,0,0,1,3,0,0,0,0,0,0,,0,,,0,,0,0,,
14,2018,12/16/18,14,15,35.014,GNB,@,CHI,L 17-24,3,25,1,25,8.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
15,2018,12/23/18,15,16,35.021,GNB,@,NYJ,W 44-38,5,32,3,30,6,2,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
16,2018,12/30/18,16,17,35.028,GNB,,DET,L 0-31,0,0,,0,,0,,0,,0,0,0,0,,0,,0,,,0,,0,0,,
17,2019,9/5/19,1,1,35.277,GNB,@,CHI,W 10-3,3,8,0,6,2,2,0.7,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
18,2019,9/15/19,2,2,35.287,GNB,,MIN,W 21-16,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
19,2019,9/22/19,3,3,35.294,GNB,,DEN,W 27-16,1,-1,0,-1,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
20,2019,9/26/19,4,4,35.298,GNB,,PHI,L 27-34,5,46,3,32,6.4,14,2.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
21,2019,10/6/19,5,5,35.308,GNB,@,DAL,W 34-24,4,-1,0,-1,-0.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
22,2019,10/14/19,6,6,35.316,GNB,,DET,W 23-22,3,10,1,10,3.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
23,2019,10/20/19,7,7,35.322,GNB,,OAK,W 42-24,2,6,1,6,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
24,2019,10/27/19,8,8,35.329,GNB,@,KAN,W 31-24,6,29,1,24,4,5,0.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
25,2019,11/3/19,9,9,35.336,GNB,@,LAC,L 11-26,1,5,0,3,3,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
26,2019,11/10/19,10,10,35.343,GNB,,CAR,W 24-16,1,7,0,7,7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
27,2019,11/24/19,11,12,35.357,GNB,@,SFO,L 8-37,3,13,0,13,4.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
28,2019,12/1/19,12,13,35.364,GNB,@,NYG,W 31-13,3,24,1,19,6.3,5,1.7,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
29,2019,12/8/19,13,14,36.006,GNB,,WAS,W 20-15,5,16,1,16,3.2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
30,2019,12/15/19,14,15,36.013,GNB,,CHI,W 21-13,3,23,1,23,7.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
31,2019,12/23/19,15,16,36.021,GNB,@,MIN,W 23-10,3,-3,0,-3,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
32,2019,12/29/19,16,17,36.027,GNB,@,DET,W 23-20,2,1,0,1,0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
33,2020,9/13/20,1,1,36.286,GNB,@,MIN,W 43-34,1,2,1,2,2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
34,2020,9/20/20,2,2,36.293,GNB,,DET,W 42-21,2,12,0,12,6,0,0,0,,1,1,-6,0,0,-4,-4,-2,-2,-4,0,,0,0,0,79.2
