Week,Day,Date,,,,OT,Rec,,Opp,ScoreTm,ScoreOpp,Off1stD,OffTotYd,OffPassY,OffRushY,OffTO,Def1stD,DefTotYd,DefPassY,DefRushY,DefTO,ExpPtsOffense,ExpPtsDefense,ExpPtsSp. Tms
1,Sun,12-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Buffalo Bills,23,16,16,252,177,75,,22,371,254,117,1,-0.54,3.55,5.01
2,Sun,19-Sep,1:00PM ET,boxscore,L,,1-Jan,,Las Vegas Raiders,17,26,17,331,292,39,1,22,425,373,52,,1.19,-12.75,0.99
3,Sun,26-Sep,1:00PM ET,boxscore,L,,2-Jan,,Cincinnati Bengals,10,24,21,342,297,45,2,12,268,172,96,1,-8.46,-0.17,-6.09
4,Sun,3-Oct,4:25PM ET,boxscore,L,,3-Jan,@,Green Bay Packers,17,27,17,282,220,62,2,23,367,236,131,1,-5.05,-7.14,3.23
5,Sun,10-Oct,1:00PM ET,boxscore,W,,3-Feb,,Denver Broncos,27,19,19,391,244,147,1,17,374,268,106,1,11.44,-5.37,1.98
6,Sun,17-Oct,8:20PM ET,boxscore,W,OT,3-Mar,,Seattle Seahawks,23,20,22,345,226,119,1,18,309,165,144,1,-1.52,3.89,1.09
8,Sun,31-Oct,1:00PM ET,boxscore,W,,3-Apr,@,Cleveland Browns,15,10,21,370,255,115,,19,306,210,96,1,1.77,2.67,-0.11
9,Mon,8-Nov,8:15PM ET,boxscore,W,,3-May,,Chicago Bears,29,27,20,280,175,105,1,20,414,278,136,2,8.46,-4.26,-4.79
11,Sun,21-Nov,8:20PM ET,boxscore,L,,5/4/01,@,Los Angeles Chargers,37,41,22,300,245,55,,33,533,374,159,1,7.04,-20.68,7.92
12,Sun,28-Nov,1:00PM ET,boxscore,L,,5/5/01,@,Cincinnati Bengals,10,41,16,301,250,51,3,25,370,172,198,1,-15.89,-14.42,0.88
13,Sun,5-Dec,4:25PM ET,boxscore,W,,6/5/01,,Baltimore Ravens,20,19,17,321,236,85,,22,326,219,107,1,7.87,-1.95,-1.18
14,Thu,9-Dec,8:20PM ET,boxscore,L,,6/6/01,@,Minnesota Vikings,28,36,22,375,269,106,1,22,458,216,242,2,6.41,-8.68,-1.31
