Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
1,2018,9/9/18,1,1,29.284,SEA,@,DEN,L 24-27,19,33,298,10,25.6,337,10.2,141,7.4,4.3,157,8.3,2,6.10%,7,21.20%,6,9,6,4,16,40.00%,1,5
2,2018,9/17/18,2,2,29.292,SEA,@,CHI,L 17-24,22,36,226,10,23.8,289,8,158,7.2,4.4,68,3.1,1,3.00%,6,18.20%,6,5,12,2,20,44.40%,3,5.7
3,2018,9/23/18,3,3,29.298,SEA,,DAL,W 24-13,16,26,192,10,35.7,241,9.3,108,6.8,4.2,84,5.3,2,8.30%,3,12.50%,2,8,4,4,10,35.70%,0,
4,2018,9/30/18,4,4,29.305,SEA,@,ARI,W 20-17,19,26,172,6,21.4,136,5.2,81,4.3,3.1,91,4.8,1,4.30%,3,13.00%,2,11,6,1,9,30.00%,2,5.5
5,2018,10/7/18,5,5,29.312,SEA,,LAR,L 31-33,13,21,198,9,39.1,240,11.4,139,10.7,6.6,59,4.5,0,0.00%,1,5.30%,2,4,6,1,9,39.10%,0,
6,2018,10/14/18,6,6,29.319,SEA,@,OAK,W 27-3,17,23,222,11,45.8,224,9.7,134,7.9,5.8,88,5.2,1,4.50%,1,4.50%,1,1,0,2,3,11.50%,2,7
7,2018,10/28/18,7,8,29.333,SEA,@,DET,W 28-14,14,17,248,11,57.9,187,11,184,13.1,10.8,64,4.6,0,0.00%,3,17.60%,2,9,2,1,5,26.30%,0,
8,2018,11/4/18,8,9,29.34,SEA,,LAC,L 17-25,26,39,235,10,23.3,234,6,105,4,2.7,130,5,1,2.70%,8,21.60%,4,6,3,3,10,21.30%,4,10
9,2018,11/11/18,9,10,29.347,SEA,@,LAR,L 31-36,17,26,176,9,30,217,8.3,114,6.7,4.4,62,3.6,1,4.20%,4,16.70%,4,6,4,3,11,29.70%,7,9.9
10,2018,11/15/18,10,11,29.351,SEA,,GNB,W 27-24,21,31,225,12,35.3,313,10.1,157,7.5,5.1,68,3.2,2,6.90%,3,10.30%,3,15,1,0,4,11.80%,0,
11,2018,11/25/18,11,12,29.361,SEA,@,CAR,W 30-27,22,31,339,13,39.4,327,10.5,222,10.1,7.2,117,5.3,1,3.60%,3,10.70%,2,20,5,0,7,21.20%,0,
12,2018,12/2/18,12,13,30.003,SEA,,SFO,W 43-16,11,17,185,7,35,147,8.6,88,8,5.2,97,8.8,1,6.70%,2,13.30%,3,3,2,4,9,39.10%,3,5
13,2018,12/10/18,13,14,30.011,SEA,,MIN,W 21-7,10,20,72,4,18.2,200,10,31,3.1,1.6,41,4.1,1,5.90%,6,35.30%,2,7,10,0,12,50.00%,2,25
14,2018,12/16/18,14,15,30.017,SEA,@,SFO,L 23-26,23,31,237,12,35.3,211,6.8,104,4.5,3.4,133,5.8,0,0.00%,3,10.70%,3,11,7,1,11,31.40%,1,5
15,2018,12/23/18,15,16,30.024,SEA,,KAN,W 38-31,18,29,271,15,46.9,349,12,222,12.3,7.7,49,2.7,1,3.70%,7,25.90%,3,14,9,5,17,47.20%,4,15.3
16,2018,12/30/18,16,17,30.031,SEA,,ARI,W 27-24,12,21,152,7,25.9,191,9.1,85,7.1,4,67,5.6,3,15.80%,1,5.30%,6,16,5,0,11,39.30%,1,1
17,2019,9/8/19,1,1,30.283,SEA,,CIN,W 21-20,14,20,195,6,25,197,9.9,99,7.1,5,96,6.9,2,10.50%,3,15.80%,4,6,2,4,10,41.70%,0,
18,2019,9/15/19,2,2,30.29,SEA,@,PIT,W 28-26,29,35,300,15,38.5,256,7.3,154,5.3,4.4,146,5,0,0.00%,3,8.60%,4,25,2,2,8,19.50%,2,12.5
19,2019,9/22/19,3,3,30.297,SEA,,NOR,L 27-33,32,50,406,18,36,552,11,294,9.2,5.9,112,3.5,0,0.00%,12,26.10%,0,7,11,3,14,25.90%,4,11
20,2019,9/29/19,4,4,30.304,SEA,@,ARI,W 27-10,22,28,240,10,31.3,213,7.6,147,6.7,5.3,93,4.2,0,0.00%,3,11.10%,4,14,3,2,9,26.50%,2,3.5
21,2019,10/3/19,5,5,30.308,SEA,,LAR,W 30-29,17,23,268,12,50,253,11,190,11.2,8.3,78,4.6,0,0.00%,4,18.20%,1,6,8,3,12,41.40%,5,5.6
22,2019,10/13/19,6,6,30.318,SEA,@,CLE,W 32-28,23,33,295,17,47.2,280,8.5,152,6.6,4.6,143,6.2,2,6.30%,7,21.90%,3,21,4,2,9,22.00%,5,8
23,2019,10/20/19,7,7,30.325,SEA,,BAL,L 16-30,20,41,241,10,23.8,459,11.2,177,8.9,4.3,64,3.2,3,7.90%,13,34.20%,1,17,6,7,14,31.80%,2,10
24,2019,10/27/19,8,8,30.332,SEA,@,ATL,W 27-20,14,20,182,9,40.9,202,10.1,114,8.1,5.7,68,4.9,2,10.00%,2,10.00%,2,7,0,2,4,16.70%,2,3
25,2019,11/3/19,9,9,30.339,SEA,,TAM,W 40-34,29,43,378,23,50,346,8,204,7,4.7,174,6,1,2.30%,7,16.30%,3,35,1,6,10,21.30%,1,21
26,2019,11/11/19,10,10,30.347,SEA,@,SFO,W 27-24,24,34,232,11,28.2,185,5.4,85,3.5,2.5,147,6.1,1,3.00%,2,6.10%,5,12,5,3,13,29.50%,5,10.8
27,2019,11/24/19,11,12,30.36,SEA,@,PHI,W 17-9,13,25,200,8,25.8,387,15.5,137,10.5,5.5,63,4.8,2,8.70%,5,21.70%,6,20,2,2,10,31.30%,1,16
28,2019,12/2/19,12,13,31.003,SEA,,MIN,W 37-30,21,31,240,7,21.2,247,8,91,4.3,2.9,149,7.1,0,0.00%,7,22.60%,2,8,3,2,7,19.40%,3,4.7
29,2019,12/8/19,13,14,31.009,SEA,@,LAR,L 12-28,22,36,245,9,22,395,11,169,7.7,4.7,76,3.5,1,3.00%,5,15.20%,5,18,5,5,15,33.30%,4,7
30,2019,12/15/19,14,15,31.016,SEA,@,CAR,W 30-24,20,26,286,10,35.7,280,10.8,182,9.1,7,104,5.2,0,0.00%,4,16.70%,2,2,5,4,11,37.90%,1,1
31,2019,12/22/19,15,16,31.023,SEA,,ARI,L 13-27,16,31,169,8,22.2,317,10.2,59,3.7,1.9,110,6.9,1,3.40%,7,24.10%,5,11,5,3,13,35.10%,1,6
32,2019,12/29/19,16,17,31.03,SEA,,SFO,L 21-26,25,40,233,17,41.5,267,6.7,148,5.9,3.7,85,3.4,2,5.30%,7,18.40%,1,12,9,7,17,35.40%,7,3.6
33,2020,9/13/20,1,1,31.289,SEA,@,ATL,W 38-25,31,35,322,15,39.5,205,5.9,162,5.2,4.6,160,5.2,1,2.90%,2,5.70%,3,13,4,6,13,33.30%,1,2
34,2020,9/20/20,2,2,31.296,SEA,,NWE,W 35-30,21,28,288,11,36.7,258,9.2,155,7.4,5.5,133,6.3,1,4.00%,3,12.00%,2,11,4,5,11,32.40%,4,9.5
35,2020,9/27/20,3,3,31.303,SEA,,DAL,W 38-31,27,40,315,15,34.1,394,9.9,241,8.9,6,74,2.7,6,15.80%,2,5.30%,4,7,3,4,11,22.90%,4,6
36,2020,10/4/20,4,4,31.31,SEA,@,MIA,W 31-23,24,34,360,17,47.2,305,9,192,8,5.6,168,7,1,3.00%,6,18.20%,2,11,2,3,7,18.90%,1,8
37,2020,10/11/20,5,5,31.317,SEA,,MIN,W 27-26,20,32,217,12,33.3,391,12.2,143,7.2,4.5,74,3.7,2,6.70%,7,23.30%,4,14,4,5,13,31.70%,5,11.6
38,2020,10/25/20,6,7,31.331,SEA,@,ARI,L 34-37,33,50,388,21,40.4,451,9,230,7,4.6,158,4.8,2,4.20%,9,18.80%,2,26,6,7,15,26.30%,5,10
39,2020,11/1/20,7,8,31.338,SEA,,SFO,W 37-27,27,37,261,16,41,260,7,133,4.9,3.6,128,4.7,1,2.80%,6,16.70%,2,18,5,1,8,20.00%,1,21
40,2020,11/8/20,8,9,31.345,SEA,@,BUF,L 34-44,28,41,390,15,32.6,380,9.3,245,8.8,6,145,5.2,0,0.00%,6,15.00%,5,18,4,8,17,36.20%,1,4
41,2020,11/15/20,9,10,31.352,SEA,@,LAR,L 16-23,22,37,248,13,30.2,367,9.9,105,4.8,2.8,143,6.5,1,2.90%,8,22.90%,6,13,3,7,16,32.00%,7,8.6
42,2020,11/19/20,10,11,31.356,SEA,,ARI,W 28-21,23,28,197,12,38.7,188,6.7,96,4.2,3.4,101,4.4,3,11.10%,1,3.70%,3,10,5,5,13,34.20%,7,6.1
43,2020,11/30/20,11,12,32.001,SEA,@,PHI,W 23-17,22,31,230,11,33.3,247,8,141,6.4,4.5,89,4,1,3.30%,7,23.30%,2,4,2,5,9,25.70%,2,5.5
44,2020,12/6/20,12,13,32.007,SEA,,NYG,L 12-17,27,43,263,13,27.1,380,8.8,155,5.7,3.6,108,4,4,9.50%,5,11.90%,5,15,6,4,15,27.80%,6,7.5
45,2020,12/13/20,13,14,32.014,SEA,,NYJ,W 40-3,21,27,206,15,55.6,202,7.5,115,5.5,4.3,91,4.3,2,7.40%,3,11.10%,0,6,3,1,4,14.80%,0,
46,2020,12/20/20,14,15,32.021,SEA,@,WAS,W 20-15,18,27,121,6,22.2,139,5.1,62,3.4,2.3,59,3.3,0,0.00%,6,23.10%,0,8,4,3,7,23.30%,3,18.3
47,2020,12/27/20,15,16,32.028,SEA,,LAR,W 20-9,20,32,225,10,27,318,9.9,143,7.2,4.5,82,4.1,0,0.00%,6,20.70%,5,14,5,3,13,33.30%,2,5
48,2020,1/3/21,16,17,32.035,SEA,@,SFO,W 26-23,20,36,181,11,28.9,324,9,67,3.4,1.9,114,5.7,2,6.30%,7,21.90%,2,18,5,2,9,21.40%,4,7.5
49,2021,9/12/21,1,1,32.287,SEA,@,IND,W 28-16,18,23,254,12,46.2,231,10,142,7.9,6.2,112,6.2,0,0.00%,2,9.50%,3,4,0,3,6,21.40%,2,6.5
50,2021,9/19/21,2,2,32.294,SEA,,TEN,L 30-33,22,31,343,10,29.4,310,10,184,8.4,5.9,159,7.2,0,0.00%,7,22.60%,3,7,6,2,11,30.60%,2,9.5
51,2021,9/26/21,3,3,32.301,SEA,@,MIN,L 17-30,23,32,298,14,41.2,282,8.8,112,4.9,3.5,186,8.1,0,0.00%,4,13.80%,2,6,7,3,12,32.40%,3,2.3
52,2021,10/3/21,4,4,32.308,SEA,@,SFO,W 28-21,16,23,149,6,23.1,125,5.4,62,3.9,2.7,87,5.4,1,4.50%,3,13.60%,3,10,6,3,12,42.90%,2,14
53,2021,10/7/21,5,5,32.312,SEA,,LAR,L 17-26,11,16,152,6,33.3,191,11.9,121,11,7.6,31,2.8,1,6.30%,2,12.50%,2,3,3,2,7,36.80%,1,7
54,2021,11/14/21,9,10,32.35,SEA,@,GNB,L 0-17,20,40,161,8,18.6,466,11.7,69,3.5,1.7,92,4.6,3,7.90%,8,21.10%,3,7,1,2,6,12.50%,5,6.4
55,2021,11/21/21,10,11,32.357,SEA,,ARI,L 13-23,14,26,207,9,30,282,10.8,137,9.8,5.3,70,5,4,16.00%,3,12.00%,4,12,1,2,7,23.30%,0,
56,2021,11/29/21,11,12,33,SEA,@,WAS,L 15-17,20,31,247,8,24.2,279,9,151,7.6,4.9,96,4.8,0,0.00%,8,25.80%,2,10,3,8,13,38.20%,1,4
57,2021,12/5/21,12,13,33.006,SEA,,SFO,W 30-23,30,37,231,12,29.3,259,7,140,4.7,3.8,91,3,1,2.70%,5,13.50%,4,11,3,3,10,23.30%,2,8
58,2021,12/12/21,13,14,33.013,SEA,@,HOU,W 33-13,17,28,260,11,39.3,359,12.8,191,11.2,6.8,69,4.1,0,0.00%,0,0.00%,0,0,0,0,0,0.00%,1,8
,,58 Games,,,,,,,37-21-0,1196,1788,14072,655,33.4,16272,9.1,8169,6.8,4.6,5903,4.9,72,4.20%,278,16.40%,172,642,248,185,605,28.70%,147,8.3
