Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,2018,9/9/18,1,1,29.284,SEA,@,DEN,L 24-27,2,5,0,5,2.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
2,2018,9/17/18,2,2,29.292,SEA,@,CHI,L 17-24,3,17,2,9,3,8,2.7,1,3,0,0,0,0,0,0,,0,,,0,,0,0,,
3,2018,9/23/18,3,3,29.298,SEA,,DAL,W 24-13,2,-1,0,-1,-0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
4,2018,9/30/18,4,4,29.305,SEA,@,ARI,W 20-17,4,21,2,21,5.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
5,2018,10/7/18,5,5,29.312,SEA,,LAR,L 31-33,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
6,2018,10/14/18,6,6,29.319,SEA,@,OAK,W 27-3,6,20,1,9,1.5,11,1.8,1,6,0,0,0,0,0,0,,0,,,0,,0,0,,
7,2018,10/28/18,7,8,29.333,SEA,@,DET,W 28-14,2,15,1,15,7.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
8,2018,11/4/18,8,9,29.34,SEA,,LAC,L 17-25,5,41,3,33,6.6,8,1.6,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
9,2018,11/11/18,9,10,29.347,SEA,@,LAR,L 31-36,9,92,6,88,9.8,4,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
10,2018,11/15/18,10,11,29.351,SEA,,GNB,W 27-24,5,17,1,17,3.4,0,0,0,,1,1,-11,0,0,-10,-10,-1,-1,-10,0,,0,0,0,79.2
11,2018,11/25/18,11,12,29.361,SEA,@,CAR,W 30-27,3,4,1,4,1.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
12,2018,12/2/18,12,13,30.003,SEA,,SFO,W 43-16,4,14,0,12,3,2,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
13,2018,12/10/18,13,14,30.011,SEA,,MIN,W 21-7,7,61,4,61,8.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
14,2018,12/16/18,14,15,30.017,SEA,@,SFO,L 23-26,5,15,0,15,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,
15,2018,12/23/18,15,16,30.024,SEA,,KAN,W 38-31,8,57,2,19,2.4,38,4.8,1,8,0,0,0,0,0,0,,0,,,0,,0,0,,
